I250929 11:24:23.407977 143 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2025/09/29 11:24:23
I250929 11:24:23.407999 143 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹1038a6ab0b3d›
I250929 11:24:23.408013 143 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v24.2.10 (x86_64-pc-linux-gnu, built 2025/02/03 17:30:12, go1.22.5 X:nocoverageredesign)
I250929 11:24:23.408027 143 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/cockroach/cockroach› ‹start-single-node› ‹--listening-url-file=server_fifo› ‹--pid-file=server_pid› ‹--advertise-addr=127.0.0.1:26257› ‹--certs-dir=certs› ‹--log=file-defaults: {dir: ./cockroach-data/logs}› ‹--accept-sql-without-tls›]
I250929 11:24:23.408067 143 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I250929 11:24:23.408078 143 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I250929 11:24:23.407728 143 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r3/1:‹/System/{NodeLive…-tsd}›] 1  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.408695 704 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r1/1:‹/{Min-System/NodeL…}›] 2  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.500127 705 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r9/1:‹/Table/{5-6}›] 3  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.500816 703 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r1/1:‹/{Min-System/NodeL…}›] 4  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.501403 703 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r9/1:‹/Table/{5-6}›] 5  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.501940 703 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r3/1:‹/System/{NodeLive…-tsd}›] 6  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.509610 1074 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r15/1:‹/Table/1{2-3}›] 7  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.510075 221 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r10/1:‹/Table/{6-7}›] 8  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.602309 222 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r17/1:‹/Table/1{4-5}›] 9  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.602843 1064 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r4/1:‹/System{/tsd-tse}›] 10  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.603276 1065 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r16/1:‹/Table/1{3-4}›] 11  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.608744 1066 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r19/1:‹/Table/1{6-7}›] 12  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.699526 586 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r5/1:‹/{Systemtse-Table/0}›] 13  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I250929 11:24:23.802938 587 13@kv/kvserver/replicate_queue.go:778 ⋮ [T1,Vsystem,n1,replicate,s1,r24/1:‹/Table/2{1-2}›] 14  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
